日期,开(亿元),高(亿元),低(亿元),收(亿元),量(亿),额(亿元),涨幅%,振幅%
20150105,69714.2,71674.7,69674.8,71447.3,748.32,8267.72,,
20150106,71237.2,72700.7,70525.3,72322.4,712.04,8192.09,1.22,3.04
20150107,72245.3,73236.1,71437.9,71839.3,559.1,6646.79,-0.67,2.49
20150108,71824.7,71968.8,69454.8,69578.1,534.29,6207.78,-3.15,3.5
20150109,69471.5,70636.3,68801.0,68892.9,570.82,6838.23,-0.98,2.64
20150112,68738.3,69122.4,66371.5,66894.8,460.67,5567.82,-2.9,3.99
20150113,66885.4,67323.3,65304.3,65528.4,354.16,4595.09,-2.04,3.02
20150114,65535.9,66008.0,63305.4,63760.0,361.5,4468.62,-2.7,4.12
20150115,63769.0,64353.4,63504.0,64353.4,407.51,5165.44,0.93,1.33
20150116,64384.4,65426.6,64384.4,64739.7,486.37,6117.38,0.6,1.62
20150119,61511.6,63675.8,60795.1,61290.0,594.74,6851.24,-5.33,4.45
20150120,61608.7,63309.7,61516.1,63065.6,536.98,6916.43,2.9,2.93
20150121,63558.9,66409.7,63482.0,66409.7,621.69,7908.03,5.3,4.64
20150122,66406.2,67248.6,66368.4,67209.8,545.2,6957.22,1.2,1.33
20150123,67329.2,68275.7,66679.3,67113.8,549.99,6963.21,-0.14,2.38
20150126,67165.6,67749.9,67017.9,67423.0,499.01,6281.41,0.46,1.09
20150127,67600.9,68034.9,66528.5,67582.1,577.41,7124.99,0.24,2.23
20150128,67085.8,67608.1,66035.9,66265.5,469.03,5932.81,-1.95,2.33
20150129,65395.5,66278.5,64382.7,64572.6,430.81,5157.57,-2.55,2.86
20150130,64904.6,65094.4,62532.1,62537.4,413.02,4973.75,-3.15,3.97
20150202,60922.5,61703.5,59904.0,60035.6,383.96,4560.27,-4.0,2.88
20150203,60566.5,60843.7,60020.5,60642.2,393.85,5057.13,1.01,1.37
20150204,60783.6,61345.9,59680.1,59711.0,404.83,5224.87,-1.54,2.75
20150205,60772.1,61018.3,59470.9,59485.2,481.76,6188.64,-0.38,2.59
20150206,59202.7,59634.5,57283.1,57666.3,396.74,4908.21,-3.06,3.95
20150209,57481.9,57859.2,56478.2,56657.0,326.12,4257.53,-1.75,2.39
20150210,56572.9,57113.9,55944.3,56369.8,301.66,3911.57,-0.51,2.06
20150211,56494.1,56858.7,55629.4,55769.7,300.41,4039.99,-1.06,2.18
20150212,55793.2,55976.0,55148.2,55207.6,327.71,4308.28,-1.01,1.48
20150213,55353.8,56393.3,55353.8,55953.4,427.56,5526.12,1.35,1.88
20150216,56138.6,56698.5,56138.6,56674.7,389.64,5319.17,1.29,1.0
20150217,56960.5,57368.7,56548.9,56701.2,376.9,5035.3,0.05,1.45
20150225,56748.9,57133.1,55815.4,56030.0,385.24,5087.75,-1.18,2.32
20150226,55905.8,57302.8,55904.8,57302.8,465.79,5866.85,2.27,2.5
20150227,57254.0,58308.6,57254.0,58114.8,480.28,6118.17,1.42,1.84
20150302,58713.4,60648.0,58655.6,60648.0,587.2,7832.56,4.36,3.43
20150303,60281.7,61799.5,60189.0,61509.9,634.16,8330.27,1.42,2.66
20150304,61608.4,62643.6,61608.4,62643.6,510.84,6823.0,1.84,1.68
20150305,62517.3,63300.1,62491.2,63300.1,543.77,7288.0,1.05,1.29
20150306,63370.2,63821.9,62399.7,62541.6,484.0,6427.21,-1.2,2.25
20150309,61996.4,63604.0,61914.0,63604.0,505.63,6456.86,1.7,2.7
20150310,63529.6,64463.0,63529.6,63967.4,480.17,6418.48,0.57,1.47
20150311,64883.9,65622.2,64274.9,64498.0,475.51,6341.47,0.83,2.11
20150312,64868.8,65396.8,64859.5,65365.9,554.69,7215.66,1.35,0.83
20150313,65653.5,66611.0,65653.5,66224.7,506.65,6607.98,1.31,1.46
20150316,66785.6,69887.1,66785.6,69887.1,651.9,8971.49,5.53,4.68
20150317,70451.0,73673.6,70451.0,73673.6,834.52,10980.24,5.42,4.61
20150318,73883.9,77738.3,73880.1,77738.3,865.76,11030.91,5.52,5.24
20150319,77765.1,80185.8,77553.7,80185.8,847.84,10875.07,3.15,3.39
20150320,80360.2,83259.7,80360.2,83257.5,813.33,11457.81,3.83,3.62
20150323,83552.2,87509.5,83552.2,87509.1,857.26,12067.52,5.11,4.75
20150324,87767.4,91317.3,87373.3,91317.3,1028.6,14153.09,4.35,4.51
20150325,91193.5,93627.4,90752.3,93146.8,853.69,12363.63,2.0,3.15
20150326,92817.2,94946.0,92055.3,93463.4,794.88,11795.23,0.34,3.1
20150327,93420.6,94235.7,93420.6,93622.6,644.63,9312.58,0.17,0.87
20150330,94284.2,96875.0,94284.2,96833.0,861.23,11982.43,3.43,2.77
20150331,97690.8,99548.6,97687.9,98226.8,877.9,12740.4,1.44,1.92
20150401,98338.5,100523.7,98338.5,100523.4,734.06,11092.16,2.34,2.22
20150402,101151.0,102472.5,100961.3,102472.5,799.65,12143.43,1.94,1.5
20150403,101842.4,104731.6,101728.8,104731.6,797.74,12370.93,2.2,2.93
20150407,105776.0,108466.4,105776.0,108466.4,913.41,13848.8,3.57,2.57
20150408,109163.6,110884.7,108309.4,110705.2,977.74,15238.7,2.06,2.37
20150409,111012.3,111624.9,109194.4,111386.8,928.89,14640.59,0.62,2.2
20150410,110599.8,113541.1,110369.4,113530.5,775.63,12312.75,1.92,2.85
20150413,114713.8,117037.2,114713.8,116835.2,921.36,14192.22,2.91,2.05
20150414,116726.5,119151.0,116167.5,117896.8,928.17,14224.77,0.91,2.55
20150415,117783.7,118553.4,115068.3,115070.0,919.86,13278.12,-2.4,2.96
20150416,113504.6,117995.7,113047.7,116728.0,807.17,11907.64,1.44,4.3
20150417,118345.4,120513.7,118345.4,120074.2,1032.23,15014.5,2.87,1.86
20150420,120127.5,123935.2,119004.2,121470.7,1223.23,17721.51,1.16,4.11
20150421,121541.9,124782.1,121541.9,124782.1,941.4,14095.07,2.73,2.67
20150422,125389.4,129491.3,125389.4,129491.3,1041.64,16267.25,3.77,3.29
20150423,130243.4,132017.91,130011.3,131550.0,1043.54,16490.37,1.59,1.55
20150424,129687.5,133014.3,129543.9,131989.41,979.26,15551.47,0.33,2.64
20150427,134035.5,136155.5,134035.5,135165.8,1013.46,16095.21,2.41,1.61
20150428,135105.7,136410.91,132308.7,133526.3,1098.93,16728.59,-1.21,3.03
20150429,133274.41,134805.8,132430.7,133432.11,790.0,12773.82,-0.07,1.78
20150430,133817.8,134993.11,131971.0,132005.0,800.17,13189.25,-1.07,2.26
20150504,132373.41,133680.8,131034.1,131534.11,755.29,12145.62,-0.36,2.0
20150505,131389.11,131882.11,125470.6,126128.6,870.46,13394.82,-4.11,4.87
20150506,127111.2,128150.4,122192.1,123404.2,745.62,12315.03,-2.16,4.72
20150507,122233.7,123196.0,117978.8,118097.1,617.87,9650.16,-4.3,4.23
20150508,120004.7,120758.5,117763.3,120426.5,649.13,10706.88,1.97,2.54
20150511,121709.8,125539.6,121412.2,125539.6,802.76,13814.02,4.25,3.43
20150512,125983.0,128933.6,125785.6,128933.6,852.56,15115.23,2.7,2.51
20150513,128498.7,130919.8,127945.3,129737.2,854.39,15099.75,0.62,2.31
