sec_code,market,sec_name
301536,0,星宸科技
688248,1,南网科技
688578,1,艾力斯
600863,1,华能蒙电
600126,1,杭钢股份
600032,1,浙江新能
601991,1,大唐发电
600985,1,淮北矿业
600578,1,京能电力
601001,1,晋控煤业
000539,0,粤电力Ａ
600021,1,上海电力
601699,1,潞安环能
600546,1,山煤国际
300001,0,特锐德
601016,1,节能风电
688065,1,凯赛生物
600352,1,浙江龙盛
600486,1,扬农化工
688617,1,惠泰医疗
300017,0,网宿科技
688347,1,华虹宏力
688702,1,盛科通信-U
688568,1,中科星图
688608,1,恒玄科技
000039,0,中集集团
601666,1,平煤股份
603129,1,春风动力
688122,1,西部超导
600131,1,国网信通
002603,0,以岭药业
000537,0,绿发电力
600483,1,福能股份
688266,1,泽璟制药-U
600871,1,石化油服
688297,1,中无人机
688331,1,荣昌生物
601808,1,中海油服
688188,1,柏楚电子
601179,1,中国西电
688349,1,三一重能
002410,0,广联达
600256,1,广汇能源
689009,1,九号公司-WD
002608,0,江苏国信
600562,1,国睿科技
601869,1,长飞光纤
301606,0,绿联科技
600995,1,南网储能
600737,1,中粮糖业
000729,0,燕京啤酒
002078,0,太阳纸业
600350,1,山东高速
000400,0,许继电气
600536,1,中国软件
002244,0,滨江集团
600801,1,华新建材
301498,0,乖宝宠物
300454,0,深信服
688187,1,时代电气
300759,0,康龙化成
600339,1,中油工程
600095,1,湘财股份
600968,1,海油发展
600583,1,海油工程
600348,1,华阳股份
003035,0,南网能源
600295,1,鄂尔多斯
601598,1,中国外运
002414,0,高德红外
600602,1,云赛智联
603606,1,东方电缆
300073,0,当升科技
688278,1,特宝生物
000893,0,亚钾国际
600535,1,天士力
688599,1,天合光能
688027,1,国盾量子
300677,0,英科医疗
001286,0,陕西能源
688475,1,萤石网络
300002,0,神州泰岳
603766,1,隆鑫通用
300496,0,中科创达
601615,1,明阳智能
603979,1,金诚信
688777,1,中控技术
000983,0,山西焦煤
300003,0,乐普医疗
000723,0,美锦能源
